ParameterID_T,Type
water_velocity_north,velocity
water_velocity_north,velocity
water_velocity_up,velocity
water_velocity_up,velocity
water_velocity_up,velocity
water_velocity_up,velocity
water_velocity_up,velocity
water_velocity_up,velocity
water_velocity_up,velocity
error_velocity,velocity
error_velocity,velocity
error_velocity,velocity
error_velocity,velocity
error_velocity,velocity
error_velocity,velocity
error_velocity,velocity
error_velocity,velocity
eastward_seawater_velocity,velocity
eastward_seawater_velocity,velocity
eastward_seawater_velocity,velocity
eastward_seawater_velocity,velocity
northward_seawater_velocity,velocity
northward_seawater_velocity,velocity
northward_seawater_velocity,velocity
northward_seawater_velocity,velocity
upward_seawater_velocity,velocity
upward_seawater_velocity,velocity
upward_seawater_velocity,velocity
upward_seawater_velocity,velocity
error_seawater_velocity,velocity
error_seawater_velocity,velocity
error_seawater_velocity,velocity
error_seawater_velocity,velocity
x_vel,velocity
y_vel,velocity
eastward_velocity,velocity
eastward_velocity,velocity
eastward_velocity,velocity
northward_velocity,velocity
northward_velocity,velocity
northward_velocity,velocity
upward_velocity,velocity
upward_velocity,velocity
upward_velocity,velocity
velocity_beam1_m_s,velocity
velocity_beam1_m_s,velocity
velocity_beam2_m_s,velocity
velocity_beam2_m_s,velocity
velocity_beam3_m_s,velocity
velocity_beam3_m_s,velocity
velpt_j_eastward_velocity,velocity
velpt_j_eastward_velocity,velocity
velpt_j_northward_velocity,velocity
velpt_j_northward_velocity,velocity
velpt_j_upward_velocity,velocity
velpt_j_upward_velocity,velocity
eastward_wind_velocity,velocity
eastward_wind_velocity,velocity
northward_wind_velocity,velocity
northward_wind_velocity,velocity
met_current_speed,velocity
met_current_speed,velocity
met_relwind_speed,velocity
met_relwind_speed,velocity
met_wind10m,velocity
wind_u_avg,velocity
wind_u_avg,velocity
wind_v_avg,velocity
wind_v_avg,velocity
wind_w_avg,velocity
wind_w_avg,velocity
speed_of_sound_avg,velocity
speed_of_sound_avg,velocity
wind_u_max,velocity
wind_u_max,velocity
wind_v_max,velocity
wind_v_max,velocity
wind_w_max,velocity
wind_w_max,velocity
speed_of_sound_max,velocity
speed_of_sound_max,velocity
wind_u_min,velocity
wind_u_min,velocity
wind_v_min,velocity
wind_v_min,velocity
wind_w_min,velocity
wind_w_min,velocity
speed_of_sound_min,velocity
speed_of_sound_min,velocity
u_corr,velocity
