reference_designator,inst,status,comments
GP05MOAS-GL362-00-ENG000000,ENG00,not for review,
GP05MOAS-GL523-00-ENG000000,ENG00,not for review,
GA05MOAS-PG563-00-ENG000000,ENG00,not for review,
CP05MOAS-A6263-00-ENG000000,ENG00,not for review,
GA05MOAS-GL364-00-ENG000000,ENG00,not for review,
CP05MOAS-GL389-00-ENG000000,ENG00,not for review,
GA05MOAS-GL538-00-ENG000000,ENG00,not for review,
CP05MOAS-PG564-00-ENG000000,ENG00,not for review,
GP05MOAS-PG576-00-ENG000000,ENG00,not for review,
GP05MOAS-GL364-00-ENG000000,ENG00,not for review,
GI05MOAS-PG528-00-ENG000000,ENG00,not for review,
CE04OSPD-DP01B-00-ENG000000,ENG00,not for review,
CP05MOAS-GL380-00-ENG000000,ENG00,not for review,
CP05MOAS-GL379-00-ENG000000,ENG00,not for review,
CP05MOAS-GL376-00-ENG000000,ENG00,not for review,
GI05MOAS-GL453-00-ENG000000,ENG00,not for review,
CE05MOAS-GL383-00-ENG000000,ENG00,not for review,
GP05MOAS-GL363-00-ENG000000,ENG00,not for review,
GA05MOAS-PG580-00-ENG000000,ENG00,not for review,
GI05MOAS-GL493-00-ENG000000,ENG00,not for review,
CE05MOAS-GL386-00-ENG000000,ENG00,not for review,
GP05MOAS-GL537-00-ENG000000,ENG00,not for review,
GS05MOAS-GL485-00-ENG000000,ENG00,not for review,
GA05MOAS-GL494-00-ENG000000,ENG00,not for review,
GI05MOAS-GL478-00-ENG000000,ENG00,not for review,
GS05MOAS-GL524-00-ENG000000,ENG00,not for review,
CP05MOAS-GL340-00-ENG000000,ENG00,not for review,
GI05MOAS-GL469-00-ENG000000,ENG00,not for review,
GI05MOAS-GL559-00-ENG000000,ENG00,not for review,
GI05MOAS-PG577-00-ENG000000,ENG00,not for review,
GP05MOAS-GL469-00-ENG000000,ENG00,not for review,
GI05MOAS-GL485-00-ENG000000,ENG00,not for review,
CP05MOAS-GL339-00-ENG000000,ENG00,not for review,
GI05MOAS-GL495-00-ENG000000,ENG00,not for review,
CE05MOAS-GL382-00-ENG000000,ENG00,not for review,
GP05MOAS-GL365-00-ENG000000,ENG00,not for review,
GP05MOAS-GL453-00-ENG000000,ENG00,not for review,
GA05MOAS-GL470-00-ENG000000,ENG00,not for review,
GA05MOAS-PG578-00-ENG000000,ENG00,not for review,
GI05MOAS-GL484-00-ENG000000,ENG00,not for review,
CP05MOAS-GL387-00-ENG000000,ENG00,not for review,
GP05MOAS-PG514-00-ENG000000,ENG00,not for review,
GA05MOAS-PG562-00-ENG000000,ENG00,not for review,
GI05MOAS-GL477-00-ENG000000,ENG00,not for review,
GI05MOAS-GL363-00-ENG000000,ENG00,not for review,
CP05MOAS-PG583-00-ENG000000,ENG00,not for review,
GA05MOAS-GL496-00-ENG000000,ENG00,not for review,
